country,mean_lifeExp
Afghanistan,37.478833333333334
Bahrain,65.60566666666666
Bangladesh,49.83408333333333
Cambodia,47.90275
China,61.78514
"Hong Kong, China",73.49283333333334
India,53.16608333333333
Indonesia,54.33575
Iran,58.636583333333334
Iraq,56.58175
Israel,73.64583333333333
Japan,74.82691666666666
Jordan,59.78641666666667
"Korea, Dem. Rep.",63.60733333333334
"Korea, Rep.",65.001
Kuwait,68.92233333333333
Lebanon,65.86566666666667
Malaysia,64.27958333333333
Mongolia,55.89033333333333
Myanmar,53.321666666666665
Nepal,48.986333333333334
Oman,58.44266666666667
Pakistan,54.88225
Philippines,60.96725
Saudi Arabia,58.67875
Singapore,71.22025
Sri Lanka,66.52608333333333
Syria,61.34616666666667
Taiwan,70.33666666666667
Thailand,62.20025
Vietnam,57.4795
West Bank and Gaza,60.32866666666667
"Yemen, Rep.",46.78041666666667
